ID,Idade,Sexo,InstEnsi,Jogou,Console,TDeUso,Prazer_1,Prazer_2,Prazer_3,Prazer_4,Prazer_5,Prazer_6,Prazer_7,Prazer_8,Facil_1,Facil_2,Facil_3,Facil_4,Facil_5,Facil_6,Utilid_1,Utilid_2,Utilid_3,Utilid_4,Desejo_1,Desejo_2,Desejo_3,Desejo_4,Intens_1,Intens_2,Intens_3,UsoAt_1,UsoAt_2,UsoLik_1,UsoLik_2
88,20,1,1,2,0,7,4,4,3,3,3,3,5,4,3,4,4,3,3,4,2,3,3,2,3,3,2,3,3,2,2,0,0,1,1
89,22,1,1,3,0,5,4,1,3,3,4,5,4,3,2,4,4,4,3,5,4,4,4,2,3,3,4,4,1,3,3,0,0,1,1
90,25,0,0,2,0,1,5,5,2,2,2,3,4,5,1,3,5,1,5,4,2,3,3,2,1,1,3,3,1,1,1,3,3,3,2
91,22,1,1,1,0,10,5,4,5,4,5,5,5,3,1,1,4,2,5,3,2,3,4,4,4,3,3,5,5,3,4,2,4,2,2
92,19,1,1,3,0,10,5,4,5,3,3,4,5,3,1,4,4,4,5,5,5,5,5,5,5,5,1,5,5,4,4,10,6,5,2
93,20,0,1,1,0,10,4,3,3,2,4,5,5,3,2,3,5,3,2,5,4,2,5,1,3,3,2,3,4,1,2,0,0,1,1
94,25,1,1,1,0,5,5,3,4,4,3,3,2,1,2,2,3,2,3,5,3,2,3,4,4,4,2,3,2,1,3,2,4,2,2
95,23,1,1,1,0,8,5,3,5,3,4,4,3,4,3,3,5,2,4,5,4,4,3,3,4,4,4,3,4,1,4,1,1,2,2
96,20,1,0,1,0,1,4,2,5,3,4,4,4,5,1,2,5,2,4,5,1,3,4,2,3,3,5,5,3,1,3,2,3,2,2
97,19,1,0,1,0,1,5,4,4,2,3,4,4,5,2,3,4,3,4,5,3,4,5,5,5,5,4,5,4,2,4,7,3,4,2
98,20,1,1,1,0,2,5,2,5,4,3,3,5,3,1,2,4,5,4,4,4,2,5,2,4,2,4,4,4,1,4,4,4,3,2
99,23,1,1,1,0,4,5,3,3,3,4,4,4,3,2,4,4,3,5,4,4,4,4,2,3,4,3,3,4,3,3,2,4,2,2
100,18,1,1,2,0,4,4,4,5,4,5,5,5,3,2,4,4,3,4,5,4,5,5,4,4,5,3,4,4,3,4,4,15,3,3
101,18,1,1,2,0,11,5,5,5,5,3,3,4,2,1,4,3,4,4,4,5,2,4,2,3,5,3,5,5,3,5,7,14,4,3
102,24,1,1,2,0,4,5,4,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,3,2
103,19,1,0,2,0,10,4,3,5,5,5,5,4,1,1,3,3,4,5,5,3,4,5,3,4,4,5,5,4,2,1,7,20,4,3
104,22,1,0,2,0,0,3,2,5,4,4,2,1,1,2,4,4,2,4,4,3,4,3,3,4,2,5,4,3,3,2,0,0,1,1
105,19,1,1,1,0,10,2,1,5,1,1,1,4,1,1,5,5,3,4,5,5,2,5,5,2,4,5,5,3,4,3,2,10,2,2
106,21,1,0,1,0,1,5,5,5,3,4,5,3,3,1,5,5,5,4,5,1,3,5,3,5,4,2,5,5,1,1,2,5,2,2
107,21,1,1,2,0,10,5,4,5,5,5,4,4,3,2,5,5,5,4,5,4,5,5,2,5,3,3,5,5,5,4,7,14,4,3
108,20,1,1,1,0,7,4,3,4,4,5,5,5,4,1,3,4,4,5,5,4,4,5,3,4,5,4,5,5,1,4,2,10,2,2
109,18,1,1,2,0,6,4,2,3,2,3,4,4,3,3,3,5,4,5,4,4,5,5,2,2,4,3,4,3,3,2,2,5,2,2
110,21,1,1,2,0,2,5,5,3,3,5,5,5,3,3,2,3,2,2,5,5,5,5,3,3,5,1,5,5,1,3,1,2,2,2
